height,weight,label
186,94,fat
175,53,thin
131,50,fat
135,70,fat
151,85,fat
166,62,normal
194,69,thin
136,59,fat
166,65,normal
197,51,thin
187,87,normal
138,46,normal
178,76,normal
140,95,fat
135,81,fat
180,79,normal
148,44,normal
148,37,thin
194,93,normal
134,59,fat
169,72,fat
132,99,fat
136,44,normal
199,41,thin
124,69,fat
132,37,normal
180,77,normal
149,55,normal
137,89,fat
142,81,fat
120,58,fat
125,72,fat
160,83,fat
129,64,fat
194,77,normal
154,98,fat
131,47,fat
168,53,normal
134,36,normal
125,46,fat
134,47,fat
150,54,normal
152,100,fat
151,68,fat
169,84,fat
193,79,normal
173,87,fat
142,77,fat
139,80,fat
153,54,normal
124,97,fat
137,100,fat
123,72,fat
157,75,fat
159,37,thin
189,98,fat
187,76,normal
179,88,fat
151,51,normal
177,67,normal
154,67,fat
141,59,fat
166,39,thin
163,51,normal
144,94,fat
126,68,fat
161,80,fat
136,95,fat
188,53,thin
143,78,fat
147,88,fat
172,50,thin
161,51,normal
165,72,fat
144,67,fat
177,54,thin
159,100,fat
133,87,fat
152,94,fat
179,36,thin
168,88,fat
123,97,fat
179,91,fat
141,77,fat
120,44,fat
159,87,fat
184,88,fat
136,46,normal
160,67,fat
150,81,fat
194,55,thin
164,55,normal
163,37,thin
186,99,fat
196,94,normal
188,87,normal
142,44,normal
168,36,thin
187,94,fat
175,86,fat
128,90,fat
142,38,normal
171,58,normal
191,60,thin
196,98,fat
163,82,fat
157,45,thin
165,76,fat
121,70,fat
156,79,fat
128,40,normal
169,88,fat
152,89,fat
176,53,thin
124,41,fat
120,46,fat
197,45,thin
200,74,normal
132,88,fat
187,40,thin
177,56,thin
161,68,fat
199,63,thin
126,48,fat
191,73,normal
172,89,fat
167,47,thin
193,75,normal
147,83,fat
147,54,normal
121,72,fat
135,97,fat
132,58,fat
157,53,normal
155,41,thin
188,55,thin
193,88,normal
172,77,fat
125,86,fat
191,66,thin
149,65,fat
150,83,fat
151,54,normal
193,36,thin
134,46,fat
158,39,thin
121,58,fat
142,97,fat
130,89,fat
172,44,thin
160,60,normal
141,61,fat
138,37,normal
196,54,thin
125,95,fat
147,94,fat
162,59,normal
128,80,fat
138,73,fat
199,59,thin
141,100,fat
132,90,fat
188,47,thin
134,65,fat
164,60,normal
172,92,fat
175,42,thin
141,35,thin
178,64,normal
173,76,fat
192,96,fat
138,36,normal
